elems	hmax	error	clock_mesh	clock_solve	clock_error
48	1.2727529299449105	1.133318419723092	0.011057389	0.004990500550000005	0.681877175
187	0.6304051415193065	0.49972083720157656	0.027274430000000002	0.006311385	0.008290425
746	0.3176911584239567	0.2402098652994051	0.062724056	0.010438245	0.023576821
3013	0.15889566249258796	0.12347117562836873	0.186909142	0.02656408	0.071215348
11989	0.07953813967171625	0.06164126231684215	0.761984403	0.11759942300000001	0.26023096700000004
48425	0.03977341558322468	0.03190848513992149	2.970641269	0.71580785	1.003284217
193349	0.01988735962510464	0.015704840269733043	12.668927658000001	2.959885855	4.26315942
772466	0.009943674061275078	0.007872016030654697	57.787280679000006	16.081597328	16.19033065
